objectid,zcta5ce10,geoid10,classfp10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,featureuid,createdate,createdby,modifieddate,modifiedby,agency,deliverydate,sourceid,severity,publishdate,comments,pop15,st_areashape,st_lengthshape
18,96726,96726,B5,G6350,S,77692350,0,19.4281771,-155.820972,{7729F935-C918-401A-B5CD-84385591A410},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,862,77844463.76,0
19,96727,96727,B5,G6350,S,325796337,37663671,20.1099427,-155.6362714,{F85E0625-C5FD-4FD3-86EE-8AE1D172D2AF},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,5575,364341065.1,0
20,96728,96728,B5,G6350,S,9506027,862088,19.8611764,-155.124957,{D864677D-B624-416D-8188-D9F5A40C1B63},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,427,10401980.84,0
21,96729,96729,B5,G6350,S,108269992,26166707,21.1735584,-157.1168119,{72559A9D-6AA1-42BD-9C17-3D36639C4013},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1242,134454558.6,0
22,96730,96730,B5,G6350,S,2739022,1859827,21.5431489,-157.8504811,{8F895BC9-538E-44D7-9AAC-68FD5D045E93},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,1276,4596752.779,0
23,96731,96731,B5,G6350,S,50247076,15654008,21.6777227,-157.9683464,{B550BFBF-BBD6-46EE-950C-E72348829903},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,3085,65866129.12,0
24,96732,96732,B5,G6350,S,25206359,4135921,20.8837833,-156.4626405,{05843A4B-9E60-4CBF-B4B3-59C257F2E038},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,26622,29370312.96,0
25,96734,96734,B5,G6350,S,56277799,8182844,21.3950837,-157.758188,{1A4C68A6-48A1-4F51-9817-3C30C7C839E1},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,52811,64434758.69,0
26,96737,96737,B5,G6350,S,333254167,32409297,19.0645167,-155.7796715,{DBD06CB2-5D78-4F41-936B-AC7803BCA5FD},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,4302,366408702.1,0
27,96738,96738,B5,G6350,S,232202854,1458312,19.8719409,-155.8021629,{3E66D363-B819-4F37-BA18-F5C97E121110},, ,,, ,2016-09-13T00:00:00.000Z,,,1899-12-30T00:00:00.000Z,,6619,234129761.1,0
